7,15,30,165,360,75,90,500,120,240,60,45,30,7,360,15,90,165,120,75,60,500,45,240
15,165,7,75,30,500,360,240,90,45,120,60,7,15,30,165,360,75,90,500,120,240,60,45
165,75,15,500,7,240,30,45,360,60,90,120,15,165,7,75,30,500,360,240,90,45,120,60
75,500,165,240,15,45,7,60,30,120,360,90,165,75,15,500,7,240,30,45,360,60,90,120
500,240,75,45,165,60,15,120,7,90,30,360,75,500,165,240,15,45,7,60,30,120,360,90
240,45,500,60,75,120,165,90,15,360,7,30,500,240,75,45,165,60,15,120,7,90,30,360
45,60,240,120,500,90,75,360,165,30,15,7,240,45,500,60,75,120,165,90,15,360,7,30
60,120,45,90,240,360,500,30,75,7,165,15,45,60,240,120,500,90,75,360,165,30,15,7
120,90,60,360,45,30,240,7,500,15,75,165,60,120,45,90,240,360,500,30,75,7,165,15
90,360,120,30,60,7,45,15,240,165,500,75,120,90,60,360,45,30,240,7,500,15,75,165
360,30,90,7,120,15,60,165,45,75,240,500,90,360,120,30,60,7,45,15,240,165,500,75
30,7,360,15,90,165,120,75,60,500,45,240,360,30,90,7,120,15,60,165,45,75,240,500
